,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
Fiorentina,13.5,15.000,20.000,8.000,11.000,13.5,13.5,13.5,13.5,13.5
Athletic Club,4.000,10.0,10.000,17.000,9.000,10.000,10.0,10.0,10.0,10.0
Leicester,15.0,15.0,15.0,15.0,22.000,15.0,15.0,15.0,10.000,13.000
Lille,6.000,6.833,4.000,6.833,1.000,6.833,6.833,5.000,8.000,17.000
Real Betis,11.0,12.000,11.0,11.0,11.0,11.0,10.000,11.0,11.0,11.000
Real Sociedad,6.5,5.000,1.500,6.5,6.5,9.000,6.5,6.5,8.000,9.000
Granada,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.000,13.0
Getafe,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.000,11.0,11.0
Espanyol,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.000,10.0,10.0
Celta Vigo,19.0,19.0,19.0,19.0,19.000,19.0,19.0,19.0,19.0,19.0
Malaga,22.000,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Levante,13.000,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
West Ham,7.833,7.833,7.833,1.000,1.500,7.833,7.833,7.833,7.833,21.000
Wolverhampton,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.000,16.0,16.0
Burnley,2.5,2.5,2.5,2.5,2.5,2.5,2.500,2.5,2.5,2.5
Everton,8.5,8.5,14.000,8.5,8.5,3.000,8.5,8.5,8.5,8.5
Southampton,3.75,3.75,3.75,1.500,6.000,3.75,3.75,3.75,3.75,3.75
Hull City,1.5,1.5,1.500,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Swansea,7.0,7.000,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Wigan,4.0,4.000,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Newcastle,15.000,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Malmo,4.562,1.000,6.000,6.000,4.562,1.000,7.000,8.000,2.500,5.000
LASK,9.0,9.0,9.0,9.0,9.0,9.0,2.000,12.000,7.000,15.000
Rennes,8.25,8.25,8.25,8.25,8.25,8.25,11.000,3.000,5.000,14.000
Union Berlin,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.000
Hoffenheim,7.667,7.667,7.667,7.667,7.667,4.000,7.000,7.667,12.000,7.667
Hertha Berlin,2.5,2.5,2.5,2.5,1.000,4.000,2.5,2.5,2.5,2.5
Koln,4.0,4.0,4.0,4.0,4.0,4.000,4.0,4.0,4.0,4.0
Freiburg,3.0,5.000,3.0,3.0,3.0,1.000,3.0,3.0,3.0,3.0
Mainz,4.0,4.0,1.000,4.0,7.000,4.0,4.0,4.0,4.0,4.0
Augsburg,7.0,7.0,7.0,7.000,7.0,7.0,7.0,7.0,7.0,7.0
Stuttgart,9.000,1.500,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25
Hannover,10.000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Midtjylland,1.500,3.389,1.500,7.000,1.500,1.500,2.500,2.000,6.000,7.000
